input,output
aaj ka weather kaisa hai?,"bahut garmi hai, pyaar lag raha hai!"
kya tumne ye recipe try ki?,"haan, bahut tasty banta hai!"
kitne saal mein tumhare shaadi hone wali hai?,abhi toh aise plan nahin hai.
weekend kya karna hai?,weekend mein to bas ghar pe rehna hai.
kya tumhe cricket pasand hai?,"nahin, mujhe toh football pasand hai!"
kya tumhare koi bhai-bahan hai?,"haan, mere ek bhai hai."
kitne baar tumne ye game khela hai?,"bahut baar, ab expert ho gaya!"
kaun si app use karte ho?,"whatsapp, instagram aur tiktok."
aap kya kaam karte hain?,mai teacher hoon.
kya tumhe shopping pasand hai?,"haan, kabhi kabhi."
aaj kya khane ke liye banaya hai?,aaj to roti aur dal hi banaya hai.
aap kaise ho?,aaj thoda thka hua hoon.
kaisa lag raha hai yeh weather?,aaj thodi khuli hawa me jaana chahiye.
kya tumhe ye tv series pasand aaya?,"haan, bahut intresting thi!"
kitna kharcha aaya yeh dress pe?,"yaar, bahut zada hai!"
kya tumhe pet pe kaam karna pasand hai?,"haan, workout karna acha lagta hai."
aap ka favourite colour kya hai?,"blue hai, kaisa laga?"
aap kis ghar mein rehte hain?,hum ek ghar mein rehte hain!
kaun sa gana sun rahe ho?,"yeh new release hai, bahut mast hai!"
aaj ka traffic kaisa tha?,"bahut jam tha, office pahunchne mein bohot time lag gaya!"
kya tumhe dance karna pasand hai?,"nahin, mujhe dance nahi aata."
aap ki shaadi kab hui thi?,pehle shaadi nahi hoti!
aap kya padhte ho?,mai books padhna bahut pasand karta hoon.
kya tumne ye book padhi?,"haan, bohot interesting thi."
kya tumhe travelling pasand hai?,"haan, travelling mein bahut maza aata hai!"
kaun se desh jana chahte ho?,"italy, switzerland, france."
aap ka mobile kaisa hai?,mai abhi new phone le raha hoon!
aaj ka din kaisa gaya?,"aaj ka din acha gaya, kaam acha tha!"
kya tumhe online shopping karna pasand hai?,"haan, mujh"
kya tumhe yeh new movie dekhni hai?,"haan yaar, bahut reviews acche aaye hai!"
kya tum khana banaa rahi ho?,"haan, aaj dal makhani banaya hai!"
chal coffee pe chalte hai?,"okay, mereko thodi chai chahiye!"
aaj party hai?,"haa yaar, birthday celebration hai!"
tumhara mobile kaha hai?,"haan, kahi kho gaya hai!"
kya yeh book padhi hai?,"haan yaar, amazing book hai!"
yeh dress kaisa laga?,bohot cute lag raha hai!
kaise kaam chal raha hai?,"okay hai, thodi pressure hai!"
aaj bahut traffic tha!,"haan yaar, sabhi ek saath nikal gaye!"
kya tumne woh serial dekha?,"haan yaar, bahut interesting hai!"
shopping karne jaa rahi ho?,"haan yaar, thode kapde lene hai!"
weekend kya plan hai?,"kuch nahin, bas aaram karungi!"
tumne kaunsa gift liya?,"kuch special nahin, ek chocolate cake liya hai!"
aaj movie dekhne jaa rahi ho?,"haan yaar, saath me jaate hai!"
kal exam hai?,"haa, thoda tension ho rahi hai!"
kisne khana banaya?,"mene banaya hai, try karna!"
kya tumne phone charge kiya?,"haan, abhi kiya hai!"
yeh restaurant kaisa laga?,"bohot acha laga, khana bhi bahut tasty tha!"
tumhe kya chahiye?,"bas chai chahiye, shukriya!"
kaunsi song chalayi thi?,"woh new song hai, bahut pasand aaya!"
yeh dress kaha se liya?,online shopping kiya tha!
kya tumne exam ka syllabus dekha?,"haan yaar, abhi dekha!"
kab chali jaogi?,abhi thodi der me!
aaj ka weather kaisa hai?,bhot gharma hai!
kuch help chahiye?,"haan, pls yeh book le aao!"
kaise ho tum?,"theek hoon, bahut busy hoon!"
yeh movie dekhna chahogi?,"haan, movie dekhne jaate hai!"
kya tumne wo gaadi dekh li?,"haan, bahut sundar hai!"
aaj dinner ke liye kya banaa rahi ho?,"kuch nahin, bas dal chawal banayungi!"
tumne kaha se shopping kiya?,mall se kiya tha!
kya tumhe yeh book padhna pasand hai?,"haan, bahut interesting book hai!"
tumhare pass kya hai?,"kuch nahin, bas chai hai!"
yeh kaun hai?,mere dost ka bhai hai!
kab tak aaoge?,abhi kuch der me!
kya tumhe woh singer pasand hai?,"haan yaar, bahut accha gaata hai!"
kaunse book padhi thi?,"wo novel padhi thi, bahut achi thi!"
tumne kaha se ye saree liya?,mere sister ne diya hai!
aaj kaise ho?,"theek hoon, tum kya kar rahi ho?"
kya tumhe dance karna aata hai?,"haan, thoda thoda!"
yeh party kaisi lagi?,bohot maja aaya!
kya tumne woh news dekha?,"haan yaar, bahut shocking news thi!"
kab exam ka result aayega?,next week aayega!
kya tumhe woh song yaad hai?,"haan yaar, bahut purani song hai!"
kya tumne woh show dekha?,"haan yaar, bahut funny show hai!"
kya tumhe chai pasand hai?,"haan, chai to bahut pasand hai!"
aaj kya banaya hai?,bas roti aur sabzi banaya hai!
tum kaunse course kar rahi ho?,mene mba kar rahi hoon!
kya chal raha hai?,"bas yaar, theek-thak, aap batao."
"bhai,kaise ho aaj?","okay hoon, thoda busy hoon."
kitna traffic hai aaj?,"haan yaar, gussa aata hai na."
chai banayi kya aapne?,"haan, le aati hoon."
kya kar rahe ho?,movie dekh rahi hoon.
kya khaane mein hai?,"bas, simple sa khana banaya hai."
aaj bahar ja rahe ho?,"nahin, aaj ghar pe hi rehna hai."
kitna garam hai aaj!,"haan, bilkul garmi ho rahi hai."
"bhai,tumne khana khaya?","nahin, abhi kha raha hoon."
shopping karne ja rahi ho kya?,"haan, thoda sa."
kuchh special kar rahe ho?,"nahin, just chill kar rahi hoon."
kya dekh rahe ho?,koi naya show dekh rahi hoon.
kaise hain aap?,"theek hoon, thank you, aap?"
kya ho raha hai?,"bas yaar, usual stuff."
kya plan hai aaj?,"kuchh nahi, aise hi din nikal jayega."
aaj party hai?,"haan, aa rahe ho kya?"
kitna pyaar hai?,"haan yaar, bahut pyaar hai."
"bhai,kaun sa gaana sunao?",kuchh acha sa batao.
kya dekha aapne?,kuchh naya film dekha hai.
kya ho raha hai?,"bas yaar, kam kar rahi hoon."
aap kaise ho?,"theek hoon, thank you."
kuchh khaana chahiye?,"nahin, abhi nahi."
aap kaun si book padh rahe ho?,ek naya novel padh rahi hoon.
aaj kaisa din hai?,"theek hai, aap kaisa hai?"
"bhai,kaun si coffee like hai?",cappuccino please.
kya kar rahi ho?,"bas, aise hi time pass kar rahi hoon."
kya padh rahe ho?,kuchh online articles padh rahi hoon.
kya aaj kaam hai?,"haan, thoda sa hai."
"bhai,kya dekh rahe ho?",kuchh videos dekh raha hoon.
aap kahan ja rahe ho?,office ja rahi hoon.
kaun sa show dekh rahe ho?,kuchh naya show dekh rahi hoon.
kitna bharosha hai?,bahut bharosha hai.
"bhai,kaun sa game khel rahe ho?",new game khel raha hoon.
aap kaisa feel kar rahe ho?,"theek lag raha hai, thank you."
kya chal raha hai?,"bas yaar, nothing special."
kuchh batao?,"nahin yaar, kuchh nahi."
kya plan hai?,"kuchh nahi, just chill."
aaj kaisa din tha?,"theek tha, aap kaisa tha?"
"bhai,kya dekha aapne?",kuchh naya movie dekha hai.
kya ho raha hai?,"bas, khana pak rahi hoon."
kitna mehenga hai?,"haan yaar, bahut mehenga hai."
kya hai yeh?,ek naya app use kar rahi hoon.
kya aaj khaya?,"bas, simple sa khana khaya hai."
aaj kaun sa film dekha?,ek naya film dekha hai.
aap kya kar rahe ho?,"bas yaar, aise hi time pass kar rahi hoon."
kitna garmi hai!,"haan yaar, bilkul garmi hai."
kya ho raha hai?,"kuchh nahi, just chilling."
"bhai,kaisa hai aaj?","theek hai, aap k"
"kaise ho,meri jaan?","bilkul fine, aap kaise ho?"
yeh naya dress kitna cute hai!,"haan, sasta bhi mila!"
"chal na,aaj kuchh khaane ke liye jaate hain?","chalo, mera treat!"
"aaj bahut bhari hai traffic,kya?","haan yaar, koi toh traffic hai na!"
aaj shaam ko picture dekhne chale jaate hain?,"bhai, mera exam hai na, kal!"
"kitne kamine hain ye log,sab?","haan yaar, itne self-centered!"
"kya kar rahi ho,tum?","kuchh bhi nahi, bas phone pe scroll kar rahi hoon."
koi naya series dekhi hai?,"haan, yeh 'stranger things' bohot accha hai!"
"kya kar rahi ho,ghar pe?","bhai, boring ho raha hai, kuchh nahi kar rahi!"
aapko chai kaise pasand hai?,maa ki wali se better koi chai nahi bana sakta!
aaj kya khaane ka mann hai?,"bas khana hai, chai bhi peena hai, aur pizza bhi!"
kaisi hai aapki family?,"sab fine, aapki?"
kab shaadi kar rahe ho?,"abhi toh kaam dhund raha hu, shaadi baad mein!"
kya tumhe bhi yeh naya song pasand hai?,"haan yaar, yeh toh beat mast hai!"
"kal party thi na,kya hua?","bas aise hi, kuchh jaldi nikal aayi."
kitna sundar scene hai!,"haan, itna peaceful!"
kya aaj tum khelne jaa rahi ho?,"nahin yaar, aaj toh me padhai kar rahi hoon."
"aap kaise hai,bhaiya?","achi hun, aap kaise ho?"
kal ka dinner aapke ghar pe thi na?,"haan, kal ka kya hua?"
aapke bhaiya ne kya kaha?,unhone toh kuchh nahi kaha.
aaj ke weather ki kya haal hai?,"haan, bohot garam hai yaar!"
kya tumhe aaj time mila hai?,"nahin yaar, bohot kaam hai."
aapki study kaise chal rahi hai?,"theek hai, aapki?"
"aap kaise ho,aaj kal?","abhi toh bohot busy hoon, kaam ke saath."
"aaj party hai na,aap kaise jaa rahi ho?",mera toh dress hi nahi ready hai.
aaj kal kaisi hai aapki life?,"kuchh aise hi, aap kaise ho?"
"kya kar rahi thi,tum?","bas yaar, phone pe chat kar rahi thi."
aapke naye phone ka kya?,ab toh ek alag hi level pe hoon yaar.
aap kya padhte ho?,"main toh literature padhti hoon, aap?"
kya tumne yeh movie dekhi?,"haan, ek baar to dekhi thi."
aapki job kaise hai?,"aisi hi, aapki?"
kal kya khaane ka mann hai?,bas aise kuchh healthy khane ka.
aaj tum kya karne wali ho?,"bhai, bas ghar pe relax karungi."
kaisi hai aapki mom?,"bahut achi hai, aapki?"
kal aap kaise jaa rahe ho?,"main toh bus se jaunga, aap?"
yeh naya cafe kitna maja hai!,"haan yaar, bohot mast hai!"
"aapko kya pasand hai,chai ya coffee?",main toh coffee peene wali hu.
kya tumne yeh new song suna?,"haan yaar, bohot addictive hai!"
aapke ghar me kitne log hai?,"hum toh do log hain, aapke?"
aaj kaise hai mood?,"bhai, bohot bore ho rahi hun."
kal ki exam kaise gayi?,"theek hai, aapki?"
aapko kaunsa color pasand hai?,"blue pasand hai, aapko?"
aaj ka weather toh bahut ghata hai na?,"haan yaar, lagta hai baarish aane wali hai."
kya tumne aaj ka news dekha?,"nahi yaar, time hi nahi mila aaj."
"aaj office party hai,aana?","haan yaar, definitely aaungi!"
apna phone chala jata hai?,"nahi yaar, charger bhi ghar pe bhool gayi."
kya kar rahi thi tu?,"bas, instagram pe scroll kar rahi thi."
kitne din ho gaye tumse baat hue?,"are yaar, kal hi toh mili thi hum."
kaun sa film dekhne ja rahe ho?,"abhishek bachchan wala, woh kya naam tha?"
kya chai bana rahi ho?,"masala chai, aao na tum bhi!"
aaj ka khana kya hai?,"dal chawal, aaj kuch special nahi hai."
aaj kya pehan ke aayi ho?,"kuch aisa hi, casual look mein aayi hu."
kya shopping kar rahi thi?,"haan yaar, ek naya kurta liya hai."
tum kya padhti ho?,hum toh engineering padhti hai.
kya exam hai tumhara?,"haan yaar, kal chemistry ka hai."
kaha ja rahi ho tum?,"coffee shop ja rahi hu, aao na tum bhi."
aaj ka mood kaisa hai?,"kuch aise hi, aaram se hai."
kya tumhe ghoomne jaana pasand hai?,"haan yaar, bahut pasand hai travel karna."
kya tu aaj khelne jaa rahi ho?,"nahi yaar, aaj bahut kaam hai."
tumhara birthday kab hai?,"15th june ko, aapko toh pata hai na!"
kya tumhe dance karna pasand hai?,"haan yaar, mujhe bollywood dance bahut pasand hai."
kya tumne kabhi cooking class liya hai?,"nahi yaar, lekin khane mein bahut mast banati hu."
aaj kya pyaar ka feeling aa raha hai?,"are yaar, bas aise hi, aaj ka mood alag hai."
kya tumhe online shopping karne mein maja aata hai?,"haan yaar, kuch kuch items online hi best milte hai."
kya tumhe gane sunna pasand hai?,"haan yaar, aaj ka playlist toh bahut acha hai!"
kya tumhe music banane aata hai?,"nahi yaar, par mere paas ek guitar hai."
kya tumhe yoga karna pasand hai?,"haan yaar, mujhe morning yoga karna bahut acha lagta hai."
tumhare favourite colour kaun sa hai?,"blue, tumhara kya hai?"
kya tumhe khelna pasand hai?,"haan yaar, badminton aata hai."
kya tumne kabhi abroad jaane ka plan banaya hai?,"haan yaar, europe jaane ka bahut mann hai."
tumhara ghar kaha hai?,"paharganj mein, tumhara?"
kya tumhe painting karna aata hai?,"nahi yaar, mujhe toh drawing aata hai."
kya tumhe books padhna pasand hai?,"haan yaar, romance novels padhna bahut pasand hai."
kya tumhe movies dekhna pasand hai?,"haan yaar, bollywood movies mein bahut maza aata hai."
aaj kya plan hai?,"bas yaar, ghar pe aaram karna hai."
kya tumhe bhasha aati hai?,"haan yaar, mujhe english aati hai."
kya tumhe social media chalana pasand hai?,"haan yaar, par social media bahut time le jaati hai."
kya tumhe travelling karne mein maja aata hai?,"haan yaar, backpacking karne ka bahut mann hai."
kya tumhe pet animals pasand hai?,"haan yaar, mujhe dogs bahut pasand hai."
kya tumhe new things sikhna pasand hai?,"haan yaar, kuch new sikhne mein maja aata hai."
aaj kya bana rahi ho?,aaj to aloo paratha banayenge.
kya tumhare birthday pe party karenge?,"haan yaar, but a small one."
bhai aaj toh bahut thanda hai!,"haan, ek cup garam chai pee lo."
"abhi kaam kar rahi hu,baad mein call karta hu.","theek hai, abhi busy nahi hun."
tumhara phone kaha hai?,"aare, charger pe lagaya hai."
kya tune woh movie dekhi?,"haan yaar, bahut mazedar thi."
kaisi chal rahi hai?,"thik hai yaar, tum batao."
lunch kya khaate ho?,aaj office se khane aayenge.
ye dress kaise lag rahi hai?,bhaut achi lag rahi hai.
aaj toh bahut traffic tha!,"haan, meri bhi 1 ghante late ho gayi."
kaunsa film dekhne ja rahe ho?,"kya pata, kuchh acha hoga toh dekh lenge."
kya aaj shopping karna hai?,"haan yaar, kuchh zaroori cheez leni hai."
kya tumhe pizza pasand hai?,"haan, bahut pasand hai."
kya tumhe chai pasand hai?,"haan, but garam garam chai."
kya tumhe party karna pasand hai?,"haan, maza aata hai."
kaunsa gaana sun rahi ho?,kuchh bollywood classics sun rahi hoon.
kya tumhe ghoomna pasand hai?,"haan, travel karna bahut pasand hai."
kya tumhe dance karna pasand hai?,"haan, lekin mujhe nahi aata."
kya tumhe book padhna pasand hai?,"haan, khali waqt mein padti hu."
kya tumhe cooking karna pasand hai?,"haan, experiment karti hu kabhi kabhi."
aaj tumhari exam kaisi gayi?,"aaj to kuchh thoda mushkil tha, lekin hope for the best."
kya tumhe sports dekhna pasand hai?,"haan, kabhi kabhi cricket dekhti hu."
aaj tumhara mood kaisa hai?,aaj to thoda sad hai.
tum kya soch rahi ho?,"kuchh nahi, bas soch rahi hu."
kya tumhe movies dekhna pasand hai?,"haan, romantic movies."
aaj dinner kya banayenge?,aaj toh pizza order kar lenge.
kaisi chali tumhari date?,"acha laga yaar, bahut maja aaya."
kya tumhe shopping karna pasand hai?,"haan, but kharidon se pehle bahut sochti hu."
tumhara favourite color kya hai?,red hai yaar.
aaj kya karna hai?,aaj toh ghar pe hi rehne ka mann hai.
kya tumhe chai ki smell pasand hai?,"haan, bahut sukoon deti hai."
aaj tumhara mood kaisa hai?,aaj to khush hu yaar.
aaj tumne kya cooking kiya?,aaj to maggi banayi thi.
kya tumhe music sunna pasand hai?,"haan, but headphones mein."
aaj tumhara exam kaisa gaya?,"bahut acha gaya yaar, confidence hai."
kaise ho yaar?,aaj toh thoda thka hua hu.
aaj tumhara kaam kaisa raha?,aaj to thoda busy tha.
kya tumne aaj koi khana banaya?,"haan yaar, but simple sa."
tumhara favourite food kya hai?,"biryani yaar, bahut pasand hai."
aaj kya ho raha hai?,"kuchh nahi yaar, just chilling."
kya tumhe books padhna pasand hai?,"haan, but fiction padhna zyada pasand hai."
aaj kaisa din raha?,"aaj to bahut busy tha, par thik hai."
aaj ka mood kaisa hai?,aaj to bahut relax mood hai.
kya tumhe coffee pasand hai?,"haan, but chai zyad"
aaj kaafi garmi hai na?,"haan yaar, mujhe to bahut pasina aa raha hai."
kya tumhe aaj shaam ko movie dekhne jaana hai?,"sorry yaar, mujhe aaj thodi late ho jayegi."
aapki mom ki tabiyat kaisi hai?,"theek hai, unhe bas thoda khich khich hai."
coffee peene jaate hain?,"haan yaar, chale aao. kahaan jaana hai?"
aaj party mein kya pehnu?,"kuch light pehno, woh place bahut casual hai."
aaj ka khana kaisa bana?,"accha bana hai, tum try karo."
kya tumne wo naya song suna?,"haan, bahut acha hai na?"
weekend plan kya hai?,"abhi to kuch nahi socha, dekhti hu."
kya aapke paas thodi cash hai?,"haan, kitni chaiye?"
bus aane mein kitna time lagega?,shayad 20-25 minute.
kya tumhara birthday gift aaya?,"haan, aaj hi aaya hai."
aaj office ka lunch kahaan tha?,aaj to khud se tiffin laayi thi.
kya tumne naak kaat diya?,"nahi yaar, thodi khujli ho rahi thi."
yeh movie kaisi lagi?,"bhai, bohot boring thi."
kal class mein kya hota hai?,"kya pata, dekhti hu syllabus mein."
kitne paise chahiye?,"bas thode, tumhare kaam aa jaenge."
yeh ghar kaise aata hai?,"bohot aasaan hai, bus is road pe chalo."
kya aapko ghar se jaane mein dar lagta hai?,"nahi yaar, mai to bahut strong hoon."
yeh bag kahaan se liya?,"amazon se, sale mein mila tha."
aapke phone mein kya music hai?,"kuch bollywood, aur kuch english songs."
kya aapne exam ke liye padhai ki hai?,"nahi yaar, abhi se hi stress nahin lena chahti."
kya tumhara boyfriend aapko propose kar diya?,"arre nahi yaar, woh to dost hai."
kya tumne naya mobile kharida?,"haan, old phone kaam nahin kar raha tha."
kya aapko chutti kaafi hai?,"nahi yaar, abhi to aur chutti chahiye."
aaj ka traffic bahut badhiya hai!,"haan yaar, lagta hai aaj jaldi pahunch jayegi."
kaise ho aap?,"theek hoon, bas thodi thodi khaansi ho rahi hai."
aapke college ka kaam kaisa chal raha hai?,"accha chal raha hai, bas ek exam aa raha hai."
aaj ghar pe kya banaya?,"kuch simple, sabzi roti."
kya aapne naya ghar dekha?,"haan, bahut sundar hai, but bahut costly hai."
kya aapko coffee pasand hai?,"haan, bahut pasand hai."
kya tumhara pet bhara hai?,"haan, abhi kuch nahin khaane ka dil kar raha."
kahaan jaa rahe ho aap?,"bas, thokda shopping karne ja rahi hoon."
kya aapne birthday cake kharida?,"haan, aur gifts bhi."
yeh movie kahaan se dekha?,"netflix se, free mein."
aapki maasi kaise hoti hain?,"bohot acche, aapse kaise ho?"
kya aapko dance pasand hai?,"haan, lekin mujhe nahin aata dance karna."
kya aapko koi problem hai?,"nahi, aapse kaise ho?"
kya tumhari college fees paid hai?,"haan, pahle hi kar di thi."
yeh lipstick kahaan se liya?,"nyx se, sale mei"
kya kar rahi thi aaj?,"office mein meeting thi, bas abhi aayi hoon."
kya khane ka mann hai?,"koi bhi, mujhe kuchh bhi khane ka mood nahin hai."
abhi kaun sa film dekhna chahti ho?,"kuchh romantic, yaar, mood hai."
kya tu aaj party mein aa payegi?,"shayad nahi, mujhe kaam hai."
mujhe tera naya dress bohot pasand aaya!,"thank you, ye sale mein mila."
weekend pe kya plan hai?,"abhi to decide nahi kiya, shayad kuchh shopping karne jaungi."
tere liye chai banayi?,"waah, thank you, tu bohot sweet hai!"
bhai ki shaadi mein kya gift le jaane ki soch rahi ho?,"aree, abhi to decide nahi kiya, kya soch rahi ho tum?"
aaj kaafi thanda hai na?,"haan, ek dum! jacket pehenna chahiye tha."
kaisa laga exam?,"kya bataun, mujhe lag raha hai kuchh tough tha."
kya tu movie tickets book kar leti ho?,"sure, kaunsi movie dekhni hai?"
kaun sa colour aacha laga?,"ye pink wala, bohot cute hai."
mujhe kya banau aaj?,tere liye sabhi khane tasty hote hai!
kya tu shopping mein help kar sakti ho?,"of course, mujhe bhi shopping karni thi."
aaj kaise lag rahi ho?,"aaj thoda thak gai hoon, kaam bahut tha."
ye song kaisa laga?,"waah, bohot romantic hai!"
kuchh help chahiye?,"haan, pls, mujhe kuchh saamaan uthane mein help chahiye."
kaisi thi party?,"bohot mast thi, bohot maza aaya!"
kya tumhein meri yeh new dress pasand aayi?,"of course, bohot cute lag rahi ho!"
